month,TSA_U_cntl,TBUILD_cntl,TG_U_cntl,TSA_U_traffic,TBUILD_traffic,TG_U_traffic,outdoor_indoor_cntl,outdoor_indoor_traffic,TGMNAV_U_cntl,TGMXAV_U_cntl,TREFMXAV_U_cntl,TREFMNAV_U_cntl,TGMNAV_U_traffic,TGMXAV_U_traffic,TREFMXAV_U_traffic,TREFMNAV_U_traffic,TG_daynight_cntl,TG_daynight_traffic,TSA_daynight_cntl,TSA_daynight_traffic
1,10.23385763168335,11.95001220703125,10.310349941253662,10.643360614776611,11.956778049468994,10.893314361572266,-1.716154396533966,-1.3327741622924805,8.401992797851562,16.976760864257812,13.64971923828125,8.894485473632812,8.937484741210938,17.804122924804688,14.079025268554688,9.5174560546875,15.05682373046875,15.493789672851562,9.613128662109375,9.568679809570312
2,9.778895139694212,11.95001220703125,9.663822650909424,10.331378459930418,11.950774955749512,10.458016681671142,-2.1711172699928296,-1.6204054117202769,6.774087524414059,19.136398315429688,13.285719299316407,7.236401367187499,7.390657043457027,19.75673370361328,13.649305725097657,7.73568115234375,20.10280609130859,20.25860900878906,11.706150817871091,11.724491882324218
3,15.164608478546143,16.360788345336914,17.775708198547363,15.470338821411133,16.77268695831299,18.34360694885254,-0.30464012920856476,-0.2902005538344383,10.82098388671875,32.875244140625,21.650253295898438,11.473037719726562,11.432296752929688,33.46211242675781,21.910446166992188,11.938980102539062,26.689483642578125,26.6634521484375,13.892333984375,13.814971923828125
4,18.004259014129637,19.195390224456784,22.337815189361567,18.294902610778806,19.64009037017822,22.887855052947994,0.23702363939955695,0.20661554560065093,10.854124450683592,41.29216003417968,25.584732055664062,11.240846252441404,11.23604278564453,41.825410461425776,25.810014343261717,11.494911193847654,32.946730041503905,32.89222259521484,15.397888183593746,15.338481140136716
5,24.55992889404297,26.053754806518555,29.6543607711792,24.83901882171631,26.42097282409668,30.19703197479248,-0.44359174370765686,-0.3661969527602196,15.85498046875,49.12071228027344,32.81797790527344,16.44244384765625,16.211959838867188,49.671844482421875,33.05549621582031,16.628250122070312,35.20628356933594,35.306365966796875,17.269058227539062,17.316360473632812
6,27.911813831329344,29.611029815673827,33.88828315734863,28.17982244491577,29.995632648468018,34.44903411865234,-0.3176952697336679,-0.4413875669240957,21.00055389404297,53.05621185302734,36.46533050537109,21.480050659179685,21.3857421875,53.67897491455078,36.722067260742186,21.658018493652342,34.96962432861328,35.16932373046875,17.798962402343747,17.842768859863277
7,27.62175750732422,28.922778129577637,32.57205009460449,27.91464900970459,29.31830596923828,33.14634704589844,-0.17721367382910103,-0.3107322081923485,21.5810546875,51.949188232421875,36.479156494140625,22.339096069335938,21.996337890625,52.62556457519531,36.79881286621094,22.552536010742188,34.83978271484375,35.0721435546875,17.861465454101562,17.928176879882812
8,29.25739574432373,30.695234298706055,33.390066146850586,29.583070755004883,31.13685894012451,34.02412033081055,-0.37530645728111267,-0.49209944903850555,21.391464233398438,51.30262756347656,37.1982421875,22.463455200195312,21.885116577148438,51.97264099121094,37.53271484375,22.701400756835938,33.63276672363281,33.81336975097656,17.892852783203125,17.889892578125
9,26.848859214782713,27.814751434326173,29.374092960357665,27.22525110244751,28.24427080154419,30.03242425918579,-0.3533612623810771,-0.4730417251586915,21.02464904785156,45.44803314208984,33.652322387695314,22.199639892578123,21.571832275390626,46.13488616943359,33.97298889160156,22.45755157470703,30.844961547851558,31.102207946777337,16.422009277343744,16.4360855102539
10,22.03242778778076,22.955150604248047,24.170215606689453,22.371909141540527,23.43064785003662,24.8145170211792,0.6147505342960358,0.6151008605957031,17.173294067382812,39.0897216796875,28.768173217773438,18.60296630859375,17.529434204101562,39.81382751464844,29.0797119140625,18.84271240234375,22.573837280273438,22.772048950195312,11.785903930664062,11.693084716796875
11,10.819804191589355,12.174629402160644,11.67495274543762,11.315766716003418,12.556369256973266,12.392984533309935,-1.2973210334777834,-0.9853848487138759,8.040621948242187,20.60458068847656,15.240504455566406,8.903599548339843,8.689614868164062,21.364544677734372,15.751812744140624,9.2618896484375,16.280680847167964,16.489759826660148,9.542938232421875,9.702005004882812
12,10.831919193267822,11.95001220703125,10.468659400939941,11.2118821144104,11.970006942749023,10.908329486846924,-1.205225646495819,-0.8385985642671585,8.710678100585938,17.593246459960938,14.633529663085938,9.375473022460938,9.190322875976562,19.143844604492188,15.140670776367188,9.801559448242188,14.199951171875,14.763107299804688,10.91375732421875,10.916336059570312
