month,TSA_U_cntl,TBUILD_cntl,TG_U_cntl,TSA_U_traffic,TBUILD_traffic,TG_U_traffic,outdoor_indoor_cntl,outdoor_indoor_traffic,TGMNAV_U_cntl,TGMXAV_U_cntl,TREFMXAV_U_cntl,TREFMNAV_U_cntl,TGMNAV_U_traffic,TGMXAV_U_traffic,TREFMXAV_U_traffic,TREFMNAV_U_traffic,TG_daynight_cntl,TG_daynight_traffic,TSA_daynight_cntl,TSA_daynight_traffic
1,10.116704940795898,16.95001220703125,8.927937507629395,10.248284816741943,16.95001220703125,9.234767436981201,-6.833307266235352,-6.701727628707886,7.02191162109375,11.120223999023438,11.90399169921875,8.12591552734375,7.393585205078125,11.399459838867188,12.026138305664062,8.528244018554688,7.9266510009765625,8.3214111328125,7.466064453125,7.7907867431640625
2,10.86167049407959,16.95001220703125,9.78257541656494,11.06660747528076,16.95001220703125,10.08421025276184,-6.088341236114503,-5.883405208587647,7.978244018554688,13.045640563964843,12.652813720703126,9.142521667480468,8.498788452148437,13.441561889648437,12.767080688476563,9.388917541503906,11.66258850097656,11.67611389160156,8.749765014648437,8.503239440917968
3,12.417180061340332,16.95001220703125,13.398110389709473,12.651569366455078,16.95001220703125,13.821247100830078,-4.53283166885376,-4.298442840576172,7.7400054931640625,26.53826904296875,20.2213134765625,8.743011474609375,8.080245971679688,26.905731201171875,20.299636840820312,9.056594848632812,21.749847412109375,21.790374755859375,14.604385375976562,14.275802612304688
4,15.463833904266355,17.022770595550536,16.377354383468624,15.678572607040403,17.056039905548094,16.75409321784973,-1.6287368178367632,-1.4561193704605115,9.440420532226561,27.633497619628905,20.48696899414062,10.023020935058593,9.69881591796875,27.954534912109374,20.56043090820312,10.228669738769531,21.752467346191406,21.75859375,12.989659118652344,12.772978210449219
5,16.246305465698242,17.4614315032959,17.779990196228027,16.350523948669434,17.536296844482422,18.075687408447266,-1.02397221326828,-0.9272658228874207,11.040176391601562,28.7039794921875,21.6527099609375,11.942947387695312,11.286361694335938,29.057052612304688,21.706497192382812,12.210205078125,18.770294189453125,18.961349487304688,11.50933837890625,11.28948974609375
6,19.389742946624754,19.959659481048583,21.94714813232422,19.579228210449216,20.130007934570312,22.222800731658936,0.029492570087312875,0.07971465066075242,13.230680847167967,35.46525268554687,26.271484374999993,13.941781616210935,13.48352355957031,35.755010986328124,26.331033325195307,14.19122619628906,24.350186157226563,24.423497009277344,14.604676818847654,14.343591308593748
7,24.188380241394043,23.806200981140137,26.80435848236084,24.37374496459961,23.99778461456299,27.143129348754883,2.158033311367035,2.181455612182617,17.03717041015625,39.62872314453125,32.4708251953125,17.945816040039062,17.265472412109375,39.91682434082031,32.5389404296875,18.19366455078125,25.2486572265625,25.227386474609375,16.803131103515625,16.527664184570312
8,24.070144653320312,24.67869472503662,26.34163761138916,24.272589683532715,24.883895874023438,26.71327495574951,0.9293314516544342,0.8658205568790436,16.923233032226562,39.66276550292969,31.5533447265625,17.637481689453125,17.19158935546875,39.97126770019531,31.605804443359375,17.891647338867188,25.860641479492188,25.96099853515625,16.639114379882812,16.465225219726562
9,18.999955654144287,19.662356948852537,19.705272006988523,19.309434795379637,19.94072608947754,20.110172557830808,-0.17366128973662898,-0.1583148978650573,14.929116821289062,29.891447448730467,24.58143615722656,15.606213378906249,15.241728210449219,30.217022705078122,24.66875,15.926429748535156,17.996325683593746,18.02183685302734,10.915437316894531,10.608029174804686
10,14.652913570404053,16.95001220703125,13.645515441894531,15.120774745941162,16.95001220703125,14.059140682220459,-2.297098755836487,-1.8292376399040222,10.904190063476562,18.8712158203125,17.571136474609375,11.55865478515625,11.219757080078125,19.477630615234375,17.794631958007812,12.084518432617188,11.905197143554688,11.936843872070312,9.213485717773438,9.102371215820312
11,12.539427947998046,16.95001220703125,11.704606437683106,12.938557720184324,16.95001220703125,12.197791862487792,-4.410584735870363,-4.011454403400423,9.314260864257813,15.96822509765625,15.767303466796875,10.160375976562499,9.912478637695312,16.49512634277344,16.016607666015624,10.763677978515624,8.120198059082028,8.052745056152343,6.8545074462890625,6.5642654418945305
12,8.894328117370605,16.95001220703125,8.212306261062622,9.514569282531738,16.95001220703125,8.996777534484863,-8.055684328079224,-7.43544340133667,6.52838134765625,9.981582641601562,10.96710205078125,7.01678466796875,7.2340545654296875,10.939682006835938,11.337081909179688,7.794464111328125,7.2407684326171875,7.6598358154296875,6.906768798828125,7.0075836181640625
