month,TSA_U_cntl,TBUILD_cntl,TG_U_cntl,TSA_U_traffic,TBUILD_traffic,TG_U_traffic,outdoor_indoor_cntl,outdoor_indoor_traffic,TGMNAV_U_cntl,TGMXAV_U_cntl,TREFMXAV_U_cntl,TREFMNAV_U_cntl,TGMNAV_U_traffic,TGMXAV_U_traffic,TREFMXAV_U_traffic,TREFMNAV_U_traffic,TG_daynight_cntl,TG_daynight_traffic,TSA_daynight_cntl,TSA_daynight_traffic
1,2.4950923919677734,16.95001220703125,1.5605310201644897,2.852527618408203,16.95001220703125,2.039409577846527,-14.454919815063477,-14.097484588623047,-1.655609130859375,5.217437744140625,5.1329193115234375,-0.751800537109375,-1.28167724609375,5.7086639404296875,5.281005859375,-0.47393798828125,3.1624908447265625,3.2553558349609375,2.500335693359375,2.4977874755859375
2,4.858490133285523,16.95001220703125,4.410328102111817,5.1208925485610965,16.95001220703125,4.855972576141357,-12.09152193069458,-11.829119348526001,0.7305770874023437,8.197425842285156,7.256385803222656,1.6717361450195312,1.0757858276367187,8.411296081542968,7.332278442382813,2.1132720947265624,2.457926940917969,2.6636428833007812,2.477471923828125,2.622772216796875
3,5.004199266433716,16.95001220703125,5.382826328277588,5.17249608039856,16.95001220703125,5.746719837188721,-11.945812702178955,-11.777515888214111,-0.748565673828125,9.464370727539062,8.532180786132812,0.300567626953125,-0.55010986328125,9.841598510742188,8.651809692382812,0.5183258056640625,5.0335693359375,5.20391845703125,3.68939208984375,3.770477294921875
4,6.09928777217865,16.95001220703125,7.078032517433167,6.237867975234986,16.95001220703125,7.442768001556397,-10.850724172592162,-10.71214418411255,0.04253387451171878,13.726634216308595,10.877667236328126,0.8300018310546875,0.24812469482421878,13.959028625488282,10.950955200195313,0.9946258544921875,6.702635192871094,6.728903198242188,4.85047607421875,4.811991882324219
5,11.874404430389404,16.95001220703125,12.625341415405273,11.973097801208496,16.95001220703125,12.92060136795044,-5.075608015060425,-4.976914882659912,7.201995849609375,17.272567749023438,15.394577026367188,7.76373291015625,7.4614410400390625,17.529510498046875,15.458038330078125,8.058090209960938,7.941619873046875,7.800140380859375,5.4151611328125,5.239715576171875
6,13.089109849929809,16.95001220703125,13.81437463760376,13.241634416580201,16.95001220703125,14.123391342163087,-4.34752242565155,-4.296384215354919,7.8123626708984375,19.237838745117188,16.841761779785156,8.39215545654297,8.053134155273437,19.546343994140624,16.933985900878906,8.645066833496093,8.627056884765626,8.807289123535156,5.879228210449218,5.617176818847656
7,15.613780498504639,17.132417678833008,16.629226684570312,15.8169527053833,17.227825164794922,16.917444229125977,-3.7836729288101196,-3.7857272624969482,10.42376708984375,19.25079345703125,18.489974975585938,11.027877807617188,10.608901977539062,19.565185546875,18.571334838867188,11.308441162109375,4.49951171875,4.80194091796875,3.423248291015625,3.3525848388671875
8,16.240134239196777,18.21473503112793,17.538110733032227,16.442384243011475,18.386333465576172,17.874433517456055,-3.638810396194458,-3.652380585670471,9.807815551757812,23.499313354492188,20.50927734375,10.49957275390625,10.004608154296875,23.741775512695312,20.568374633789062,10.754287719726562,9.28424072265625,9.332473754882812,6.11639404296875,5.9069061279296875
9,10.821784830093383,16.95001220703125,10.808429718017578,11.114335966110229,16.95001220703125,11.230929374694824,-6.128227162361145,-5.835676455497741,5.866874694824219,15.732130432128907,14.685029602050781,6.462593078613281,6.288334655761719,16.038035583496093,14.847657775878906,6.913665771484375,7.6678955078125,7.646002197265625,6.204676818847656,5.769071960449219
10,10.562723636627197,16.95001220703125,10.500115871429443,11.070532321929932,16.95001220703125,11.067249774932861,-6.387288331985474,-5.879479646682739,5.9783477783203125,14.4503173828125,14.141555786132812,6.59906005859375,6.3339996337890625,15.020782470703125,14.363372802734375,6.8315887451171875,4.5670013427734375,4.4836273193359375,4.155059814453125,4.0138702392578125
11,6.2157217502594,16.95001220703125,5.887643837928772,6.512336993217469,16.95001220703125,6.344736242294312,-10.734290409088135,-10.437675428390502,3.6283279418945313,7.488887023925781,7.582797241210938,4.263832092285156,4.037672424316407,7.976853942871093,7.770321655273437,4.719129943847657,2.1596878051757815,2.1566360473632815,1.942759704589844,1.655424499511719
12,-1.9526532292366028,16.95001220703125,-2.4034621715545654,-1.6550928354263306,16.95001220703125,-1.9667250514030457,-18.90266513824463,-18.605104446411133,-4.6352996826171875,1.25927734375,1.3077850341796875,-3.9683990478515625,-4.2965850830078125,2.05615234375,1.66717529296875,-3.48138427734375,3.02960205078125,3.2171630859375,2.669891357421875,2.798736572265625
