value,hour,site,season,var
0.7897315,9,FR-Cap,Winter,TRAFFICFLUX
1.0,10,FR-Cap,Winter,TRAFFICFLUX
0.79100144,11,FR-Cap,Winter,TRAFFICFLUX
0.78915894,12,FR-Cap,Winter,TRAFFICFLUX
0.78950375,13,FR-Cap,Winter,TRAFFICFLUX
0.63236785,14,FR-Cap,Winter,TRAFFICFLUX
0.7117955,15,FR-Cap,Winter,TRAFFICFLUX
0.79232603,16,FR-Cap,Winter,TRAFFICFLUX
0.6319437,17,FR-Cap,Winter,TRAFFICFLUX
0.7891868,18,FR-Cap,Winter,TRAFFICFLUX
0.684791,19,FR-Cap,Winter,TRAFFICFLUX
0.6340845,20,FR-Cap,Winter,TRAFFICFLUX
0.63306797,21,FR-Cap,Winter,TRAFFICFLUX
0.6312721,22,FR-Cap,Winter,TRAFFICFLUX
0.47373196,23,FR-Cap,Winter,TRAFFICFLUX
0.7713623,0,FR-Cap,Winter,TG_U
0.75946045,1,FR-Cap,Winter,TG_U
0.68899536,2,FR-Cap,Winter,TG_U
0.631073,3,FR-Cap,Winter,TG_U
0.5602112,4,FR-Cap,Winter,TG_U
0.49093628,5,FR-Cap,Winter,TG_U
0.45568848,6,FR-Cap,Winter,TG_U
0.45251465,7,FR-Cap,Winter,TG_U
0.52407837,8,FR-Cap,Winter,TG_U
0.62680054,9,FR-Cap,Winter,TG_U
0.7788086,10,FR-Cap,Winter,TG_U
0.76364136,11,FR-Cap,Winter,TG_U
0.73342896,12,FR-Cap,Winter,TG_U
0.7338867,13,FR-Cap,Winter,TG_U
0.71762085,14,FR-Cap,Winter,TG_U
0.70977783,15,FR-Cap,Winter,TG_U
0.70355225,16,FR-Cap,Winter,TG_U
0.67645264,17,FR-Cap,Winter,TG_U
0.7109375,18,FR-Cap,Winter,TG_U
0.73721313,19,FR-Cap,Winter,TG_U
0.7529907,20,FR-Cap,Winter,TG_U
0.77279663,21,FR-Cap,Winter,TG_U
0.79333496,22,FR-Cap,Winter,TG_U
0.77563477,23,FR-Cap,Winter,TG_U
0.64120483,0,FR-Cap,Winter,TSA_U
0.62731934,1,FR-Cap,Winter,TSA_U
0.60150146,2,FR-Cap,Winter,TSA_U
0.5367737,3,FR-Cap,Winter,TSA_U
0.4797058,4,FR-Cap,Winter,TSA_U
0.4145813,5,FR-Cap,Winter,TSA_U
0.3763733,6,FR-Cap,Winter,TSA_U
0.36901855,7,FR-Cap,Winter,TSA_U
0.39163208,8,FR-Cap,Winter,TSA_U
0.46466064,9,FR-Cap,Winter,TSA_U
0.5778198,10,FR-Cap,Winter,TSA_U
0.52819824,11,FR-Cap,Winter,TSA_U
0.45489502,12,FR-Cap,Winter,TSA_U
0.39730835,13,FR-Cap,Winter,TSA_U
0.37930298,14,FR-Cap,Winter,TSA_U
0.35406494,15,FR-Cap,Winter,TSA_U
0.37182617,16,FR-Cap,Winter,TSA_U
0.39419556,17,FR-Cap,Winter,TSA_U
0.4328308,18,FR-Cap,Winter,TSA_U
0.5316467,19,FR-Cap,Winter,TSA_U
0.58062744,20,FR-Cap,Winter,TSA_U
0.60702515,21,FR-Cap,Winter,TSA_U
0.64675903,22,FR-Cap,Winter,TSA_U
0.65319824,23,FR-Cap,Winter,TSA_U
0.0006713867,0,FR-Cap,Winter,TBUILD
0.0,1,FR-Cap,Winter,TBUILD
0.0,2,FR-Cap,Winter,TBUILD
0.0,3,FR-Cap,Winter,TBUILD
0.0,4,FR-Cap,Winter,TBUILD
0.0,5,FR-Cap,Winter,TBUILD
0.0,6,FR-Cap,Winter,TBUILD
0.0,7,FR-Cap,Winter,TBUILD
0.0,8,FR-Cap,Winter,TBUILD
0.0,9,FR-Cap,Winter,TBUILD
0.0,10,FR-Cap,Winter,TBUILD
0.0,11,FR-Cap,Winter,TBUILD
0.0,12,FR-Cap,Winter,TBUILD
0.0032043457,13,FR-Cap,Winter,TBUILD
0.0043640137,14,FR-Cap,Winter,TBUILD
0.0056762695,15,FR-Cap,Winter,TBUILD
0.009216309,16,FR-Cap,Winter,TBUILD
0.013763428,17,FR-Cap,Winter,TBUILD
0.013549805,18,FR-Cap,Winter,TBUILD
0.008758545,19,FR-Cap,Winter,TBUILD
